source,target
201177,202361
201182,203544
201182,203543
201182,1627737
201187,2555
201188,1626178
201189,1626257
201189,2570
201196,201155
201196,202391
201202,2408
201202,201181
201202,689
201207,201986
201207,203485
201207,1627780
201208,2198
201208,2365
201208,202350
201228,201596
201228,201588
201229,1628404
201229,1627823
201229,2047
201274,203156
201281,2427
201281,1627988
201281,202697
201563,203953
201563,200752
201563,200745
201564,202690
201564,203914
201565,203471
201565,101145
201565,202681
201566,1629027
201566,1629029
201567,1626157
201567,1627848
201567,1628963
201568,101122
201568,1629021
201569,1626780
201569,203501
201571,2742
201571,201573
201571,2734
201572,203498
201573,201588
201573,1628973
201573,203148
201574,203457
201574,202389
201574,203476
201575,1628384
201575,1627835
201575,203585
201576,201593
201577,201959
201578,2216
201578,101154
201578,1626143
201579,203156
201579,1626161
201579,203092
201580,202324
201580,201941
201580,202685
201581,202702
201581,202324
201582,201971
201582,1629034
201583,203496
201583,203141
201585,202336
201586,202720
201586,203094
201586,2431
201587,202362
201587,203935
201588,204020
201589,203094
201589,201160
201591,201577
201593,101115
201595,201600
201595,202687
201596,203935
201596,1626170
201599,203497
201599,2199
201599,201600
201600,202687
201601,202498
201601,1628411
201602,1897
201602,202066
201603,2605
201603,2443
201604,201970
201604,101144
201604,1627820
201605,203135
201605,2030
201605,1626172
201609,202339
201609,1626144
201611,201980
201611,1629151
201627,978
201627,203484
201627,1628402
201785,202350
201785,200797
201785,202363
201802,1628537
201802,2034
201802,204179
201805,203077
201805,203135
201805,202379
201814,202692
201858,203459
201858,2050
201933,203507
201933,2548
201933,203076
201934,201972
201934,2570
201935,1629029
201935,201142
201935,2544
201936,202339
201936,1626144
201937,1889
201937,203901
201937,201951
201938,201954
201939,1626156
201939,203081
201939,202681
201941,201971
201941,203956
201941,201582
201942,203952
201942,200750
201943,202704
201943,1628372
201944,202323
201944,202362
201944,201949
201945,1627742
201945,201814
201946,202396
201946,406
201947,203940
201947,1626185
201947,1627816
201948,1627786
201948,203490
201948,1629066
201949,1627885
201949,1627761
201949,202362
201950,2590
201950,202704
201951,201952
201951,1628443
201951,101198
201953,1626145
201953,1626273
201956,201960
201956,202700
201957,203094
201958,203992
201958,1627763
201959,203092
201960,203909
201961,1627854
201961,203459
201962,1627812
201962,200751
201962,201985
201963,204037
201963,101155
201963,1628407
201964,1627827
201966,202705
201966,203084
201966,201145
201967,1628990
201967,101211
201971,203956
201972,202687
201973,1627816
201973,1628380
201973,203120
201974,2754
201974,1628021
201975,202083
201975,203484
201975,2484
201976,204060
201976,1629059
201977,203501
201977,203142
201977,101139
201978,1626209
201978,1627814
201979,202388
201979,203107
201979,203499
201980,203493
201980,1629244
201985,1627832
201986,202709
201988,203992
201988,201962
201991,202688
201991,1536
201991,1627750
202066,1628969
202079,1627861
202079,1563
202082,1628411
202082,203524
202082,1628971
202087,202498
202087,201601
202087,203090
202130,1626181
202130,202718
202130,1627851
202178,1628412
202178,202391
202178,1628443
202220,202397
202220,1863
202220,1627755
202227,203906
202227,203524
202322,1628368
202322,101114
202323,202362
202324,1627790
202324,203156
202325,1628382
202325,203138
202325,101120
202326,203076
202326,201933
202326,1628405
202327,202345
202327,202686
202327,689
202329,203112
202329,1628380
202329,201973
202330,1629019
202330,202692
202331,203930
202331,202695
202332,202334
202333,203924
202333,1628977
202334,204028
202334,202684
202334,1629011
202335,1628425
202335,1628970
202335,203120
202336,203382
202337,201980
202337,2588
202337,1904
202338,201591
202338,1890
202339,202391
202340,1628402
202340,203546
202341,1628382
202341,101120
202343,1629006
202344,203382
202344,1626204
202345,202686
202347,202713
202347,1626203
202347,203922
202348,202688
202348,1627750
202348,203897
202349,101109
202350,101133
202350,202363
202355,203083
202355,1626210
202355,203991
202357,203488
202357,203086
202361,1628411
202361,200757
202362,1628972
202362,1627761
202363,201623
202365,1628977
202365,203960
202365,1627884
202376,202335
202376,201947
202376,202725
202379,1627738
202386,1503
202386,2551
202386,1627735
202388,1627098
202389,203500
202389,203457
202390,203918
202390,203095
202390,201564
202391,1628412
202396,200748
202396,200783
202397,1627739
202397,1627755
202397,101109
202399,203920
202399,202684
202399,203105
202406,2556
202406,202333
202406,203913
202407,203527
202407,203906
202407,1626214
202412,2736
202412,203613
202412,201147
202458,1747
202458,203957
202458,1628975
202498,203199
202681,202689
202681,203081
202681,1626164
202682,1627883
202682,201814
202682,2572
202683,1629028
202683,1628381
202684,204028
202684,203500
202685,202702
202685,203991
202688,201166
202689,203081
202689,2240
202690,202390
202690,2207
202691,1627741
202691,203468
202691,201977
202692,1629019
202692,203462
202692,1627742
202693,2246
202693,203932
202693,1628369
202694,1626163
202695,200752
202695,1628367
202696,1629028
202696,2549
202696,2430
202697,203585
202697,1628503
202697,202066
202698,1628990
202698,200782
202698,200757
202699,1628369
202699,203087
202703,1628374
202703,1733
202703,201583
202704,1628372
202704,203471
202704,1626144
202705,203895
202705,2436
202706,739
202706,1627814
202706,203118
202708,203492
202708,202721
202708,1628424
202709,203489
202709,1628393
202710,1629019
202710,203462
202710,202330
202711,203918
202711,1627759
202713,203922
202713,1628966
202716,203481
202716,202962
202716,101131
202718,1626224
202718,1626181
202720,203530
202722,1629151
202722,1629244
202722,201980
202723,1627362
202724,201041
202724,201979
202725,1628035
202725,1628417
202732,202810
202732,1628971
202732,203460
202734,201584
202734,203546
202738,203081
202738,1626164
202775,203113
202775,202376
202775,201947
202779,203079
202779,201958
202809,201945
202809,1627742
202809,203462
202810,1628971
202810,2059
202814,2562
202814,203710
202814,714
202918,1628495
202918,1628681
202918,203921
202951,203148
202951,201573
202951,2742
202962,203481
202962,101133
202970,1626172
202970,686
202970,202730
203076,1628405
203076,1628963
203077,201574
203077,201959
203078,203897
203078,203468
203078,203903
203079,203095
203080,2743
203080,203458
203080,201141
203081,1626164
203082,1627736
203082,2202
203083,1626210
203083,1626195
203084,1627759
203084,1628369
203085,1627782
203085,1626196
203086,203120
203086,203488
203087,203114
203087,1628369
203088,203705
203088,1626273
203089,203092
203089,203457
203089,201959
203090,203922
203090,203103
203090,1628966
203093,1626167
203093,1627746
203093,1626158
203095,203918
203096,203530
203096,1626171
203096,2400
203098,203463
203098,203484
203100,200750
203100,201942
203101,1627738
203101,1627751
203102,203101
203102,200777
203102,436
203103,203922
203103,1628966
203105,202684
203105,101133
203106,1629006
203106,202347
203107,203499
203107,202388
203109,1626224
203109,2399
203110,2738
203110,201986
203110,1503
203111,203921
203111,1626169
203111,101120
203112,201973
203112,1628380
203113,203921
203113,1628371
203113,2566
203114,203115
203114,203095
203115,203145
203115,1626163
203117,202347
203118,1629066
203118,202694
203120,1626155
203120,1628970
203120,1628371
203121,204014
203121,203503
203121,1627988
203123,203934
203123,1515
203124,1628397
203124,101106
203124,101162
203133,1628417
203133,1628470
203138,1628384
203138,1628382
203141,1628436
203141,203496
203142,2202
203143,2581
203143,1853
203144,203894
203144,2734
203144,1627747
203145,204020
203145,1713
203148,1628973
203156,1626161
203158,101130
203158,203948
203158,980
203186,202389
203187,1628384
203187,203138
203187,201575
203197,101179
203197,1628373
203197,203902
203199,203103
203200,204038
203200,203459
203200,1628422
203210,1628964
203210,203543
203210,1628464
203268,203107
203382,203457
203457,203476
203458,1628386
203458,1627790
203459,203925
203460,1627855
203460,2059
203460,200757
203461,203543
203461,1626185
203461,203210
203462,1629019
203462,1627742
203463,203926
203468,203903
203469,203500
203469,203077
203471,1628372
203471,1628455
203473,203943
203473,2223
203473,203382
203476,203382
203477,201164
203477,200751
203477,202083
203482,203932
203482,203967
203482,1626168
203484,1627851
203485,1629001
203485,1628373
203485,1628515
203486,1628389
203486,201168
203486,203469
203487,1628412
203487,202178
203487,202391
203488,203120
203488,1628970
203489,1628393
203489,203499
203490,201163
203490,1627786
203492,1628393
203492,203898
203493,1629244
203496,1627788
203496,739
203497,202399
203497,201141
203498,1628991
203498,200752
203499,1628515
203499,2550
203500,203457
203503,203187
203503,201575
203505,202723
203505,203906
203505,203900
203506,203897
203506,1536
203506,202688
203507,203944
203507,1626149
203508,203524
203508,202082
203508,202066
203512,202686
203512,1627778
203515,1626273
203515,204025
203515,1626145
203516,1626214
203516,203922
203516,203090
203518,1629130
203521,1626145
203524,1626203
203526,202721
203526,1747
203526,2550
203527,203900
203527,203960
203530,1628976
203543,1628380
203543,1626185
203544,1626147
203544,203109
203544,201960
203546,1628379
203546,203552
203546,203810
203552,203810
203552,1627854
203561,1628021
203561,1628439
203561,202087
203580,2581
203580,203521
203584,203082
203584,1627736
203584,203141
203585,1627835
203613,201147
203613,201814
203705,203515
203710,1629102
203798,201858
203810,2067
203894,1626184
203894,201985
203894,201573
203895,2732
203898,202714
203898,2557
203900,1629133
203900,1897
203900,1629006
203901,202397
203901,1627739
203902,1627758
203902,1853
203903,1629012
203903,1627750
203903,202348
203906,1626214
203909,1886
203909,2566
203913,203462
203913,1629019
203914,1626181
203915,202391
203917,1629015
203917,203200
203920,202684
203921,1626169
203921,1627846
203924,203960
203924,1628977
203925,1628379
203925,203200
203926,1627774
203926,203098
203928,202389
203928,2743
203930,2072
203930,203501
203933,200745
203933,203953
203933,201966
203934,1627758
203934,203508
203935,201228
203937,202361
203937,1628395
203939,1629140
203939,1626158
203939,1628421
203940,203948
203940,1626185
203943,2617
203944,203994
203944,1495
203944,2200
203948,201947
203952,203498
203952,200752
203952,101122
203953,202699
203953,202693
203954,202326
203954,201142
203954,203076
203956,201582
203957,202721
203960,1627884
203961,1902
203961,203128
203962,2059
203962,1628400
203962,1627395
203966,201161
203966,1629244
203967,1626168
203967,203932
203991,202702
203991,101115
203992,1628988
203992,201166
203994,2200
203998,1628404
203998,202357
203999,2200
203999,203944
203999,2746
204001,1712
204001,202695
204014,1628390
204020,101129
204020,202130
204025,1626273
204025,201953
204028,1629011
204037,1628407
204037,101155
204038,1628422
204060,1629059
204098,1627785
204179,1626192
204179,2034
204179,1629026
204456,1626273
204456,200817
204456,201979
1626143,2449
1626144,1628412
1626145,1626273
1626147,1626162
1626147,203109
1626148,2059
1626148,1628400
1626149,2397
1626150,1627735
1626150,1628443
